Symbol,Date,Open,High,Low,Close,Volume
JSBL,18-Sep-2012,5.99,5.99,5.78,5.83,200000
JSBL,19-Sep-2012,5.90,5.99,5.81,5.85,367000
JSBL,20-Sep-2012,5.94,5.94,5.66,5.71,401500
JSBL,24-Sep-2012,5.69,5.77,5.48,5.50,357500
JSBL,25-Sep-2012,5.54,5.65,5.44,5.45,230000
JSBL,26-Sep-2012,5.41,5.55,5.36,5.40,398500
JSBL,27-Sep-2012,5.42,5.45,5.29,5.33,369000
JSBL,28-Sep-2012,5.30,5.40,5.30,5.34,937500
JSBL,01-Oct-2012,5.31,5.49,5.26,5.29,1061500
JSBL,02-Oct-2012,5.26,5.35,5.20,5.26,732500
JSBL,03-Oct-2012,5.34,5.44,5.25,5.29,829000
JSBL,04-Oct-2012,5.40,5.50,5.35,5.49,838000
JSBL,05-Oct-2012,5.54,5.54,5.31,5.34,216500
JSBL,08-Oct-2012,5.45,5.45,5.30,5.37,243000
JSBL,09-Oct-2012,5.25,5.40,5.25,5.33,310000
JSBL,10-Oct-2012,5.33,5.45,5.33,5.39,322000
JSBL,11-Oct-2012,5.40,5.40,5.30,5.31,346500
JSBL,12-Oct-2012,5.40,5.45,5.26,5.28,451500
JSBL,15-Oct-2012,5.26,5.40,5.26,5.37,200000
JSBL,16-Oct-2012,5.28,5.38,5.21,5.24,381500
JSBL,17-Oct-2012,5.25,5.26,5.20,5.22,305500
JSBL,18-Oct-2012,5.25,5.30,5.15,5.20,336500
JSBL,19-Oct-2012,5.29,5.79,5.29,5.58,2466000
JSBL,22-Oct-2012,5.70,5.70,5.34,5.43,1086500
JSBL,23-Oct-2012,5.40,5.64,5.40,5.53,962500
JSBL,24-Oct-2012,5.50,5.54,5.42,5.47,71500
JSBL,25-Oct-2012,5.50,5.59,5.26,5.33,552500
JSBL,30-Oct-2012,5.36,5.50,5.25,5.28,76500
JSBL,31-Oct-2012,5.30,5.44,5.20,5.33,414500
JSBL,01-Nov-2012,5.52,5.72,5.43,5.45,1666000
JSBL,02-Nov-2012,5.60,5.65,5.45,5.46,462500
JSBL,05-Nov-2012,5.55,5.65,5.44,5.51,291000
JSBL,06-Nov-2012,5.42,5.70,5.40,5.59,1026500
JSBL,07-Nov-2012,5.60,5.70,5.50,5.53,429500
JSBL,08-Nov-2012,5.50,6.05,5.41,5.91,5150500
JSBL,12-Nov-2012,6.04,6.60,5.99,6.45,17502000
JSBL,13-Nov-2012,6.50,6.55,6.20,6.24,4481000
JSBL,14-Nov-2012,6.33,6.35,5.75,5.94,9686500
JSBL,15-Nov-2012,6.00,6.19,5.81,5.94,1328500
JSBL,16-Nov-2012,6.09,6.32,5.97,6.07,1310500
JSBL,19-Nov-2012,6.02,6.24,6.02,6.11,989000
JSBL,20-Nov-2012,6.06,6.16,5.86,5.94,792000
JSBL,21-Nov-2012,5.94,6.10,5.64,5.70,4902000
JSBL,22-Nov-2012,5.75,6.04,5.75,6.01,1740500
JSBL,23-Nov-2012,6.07,6.08,5.95,6.00,654000
JSBL,26-Nov-2012,6.00,6.04,5.76,5.81,790000
JSBL,27-Nov-2012,5.80,5.96,5.70,5.75,1488500
JSBL,28-Nov-2012,5.85,5.93,5.75,5.76,500000
JSBL,29-Nov-2012,5.93,6.06,5.78,5.93,1003000
JSBL,30-Nov-2012,5.99,6.10,5.90,5.97,1361500
JSBL,03-Dec-2012,6.01,6.25,6.01,6.12,1954500
JSBL,04-Dec-2012,6.19,6.21,6.01,6.08,2766000
JSBL,05-Dec-2012,6.15,6.45,6.01,6.33,4091000
JSBL,06-Dec-2012,6.35,6.58,6.33,6.36,6916500
JSBL,07-Dec-2012,6.35,6.40,6.10,6.14,2105500
JSBL,10-Dec-2012,6.29,6.32,6.15,6.22,929500
JSBL,11-Dec-2012,6.17,6.24,6.01,6.03,625500
JSBL,12-Dec-2012,6.06,6.17,6.00,6.01,379000
JSBL,13-Dec-2012,6.15,6.18,6.00,6.02,453500
JSBL,14-Dec-2012,6.05,6.09,6.00,6.01,185000
JSBL,17-Dec-2012,5.95,6.10,5.95,6.04,774000
JSBL,18-Dec-2012,6.01,6.10,5.98,6.06,468000
JSBL,19-Dec-2012,6.01,6.10,6.00,6.05,588500
JSBL,20-Dec-2012,6.02,6.02,5.85,5.88,1806500
JSBL,21-Dec-2012,5.91,6.05,5.90,6.01,537000
JSBL,24-Dec-2012,5.93,5.99,5.92,5.97,185000
JSBL,26-Dec-2012,5.99,5.99,5.80,5.81,348000
JSBL,27-Dec-2012,5.80,5.90,5.71,5.81,842500
JSBL,28-Dec-2012,5.81,5.95,5.76,5.94,312500
JSBL,31-Dec-2012,5.85,6.09,5.85,5.87,158000
JSBL,01-Jan-2013,5.97,5.98,5.82,5.85,313500
JSBL,02-Jan-2013,5.86,5.95,5.31,5.49,2029500
JSBL,03-Jan-2013,5.68,5.93,5.41,5.85,1821500
JSBL,04-Jan-2013,5.90,5.90,5.70,5.75,555500
JSBL,07-Jan-2013,5.73,5.73,5.47,5.51,1034000
JSBL,08-Jan-2013,5.75,5.75,5.57,5.74,322000
JSBL,09-Jan-2013,5.65,5.80,5.60,5.76,186000
JSBL,10-Jan-2013,5.75,5.75,5.50,5.57,573500
JSBL,11-Jan-2013,5.67,5.75,5.46,5.57,294000
JSBL,14-Jan-2013,5.32,5.70,5.26,5.64,234000
JSBL,15-Jan-2013,5.65,5.70,5.03,5.13,1752500
JSBL,16-Jan-2013,5.40,5.45,5.18,5.23,416500
