Symbol,Date,Open,High,Low,Close,Volume
MCB,11-Dec-2007,412.90,433.00,407.00,433.00,6390600
MCB,12-Dec-2007,434.00,434.00,414.05,417.00,4468900
MCB,13-Dec-2007,417.00,423.55,410.15,416.10,3926600
MCB,14-Dec-2007,418.90,418.90,410.40,413.00,1412500
MCB,17-Dec-2007,415.40,420.45,413.00,414.00,1892000
MCB,18-Dec-2007,415.00,417.70,410.50,412.00,1998800
MCB,19-Dec-2007,411.00,418.50,410.50,416.00,1861400
MCB,24-Dec-2007,416.25,433.70,416.25,429.00,3039000
MCB,26-Dec-2007,430.50,434.60,425.00,425.80,1401700
MCB,27-Dec-2007,427.00,428.90,418.50,420.95,2282700
MCB,31-Dec-2007,399.95,399.95,399.95,399.95,295000
MCB,01-Jan-2008,388.00,392.50,380.00,382.55,2584600
MCB,02-Jan-2008,383.50,388.50,363.45,363.45,2465200
MCB,03-Jan-2008,377.05,381.60,375.00,381.60,951900
MCB,04-Jan-2008,389.00,398.80,388.50,398.80,3424400
MCB,07-Jan-2008,398.70,399.00,388.15,390.15,1429700
MCB,08-Jan-2008,392.70,399.70,392.50,395.00,1868600
MCB,09-Jan-2008,395.95,397.00,389.10,390.20,1604500
MCB,10-Jan-2008,392.00,396.90,386.00,388.10,2397700
MCB,11-Jan-2008,388.10,391.00,375.00,379.50,2049400
MCB,14-Jan-2008,380.25,386.45,379.90,382.80,2171800
MCB,15-Jan-2008,380.25,383.30,379.70,380.90,1023400
MCB,16-Jan-2008,382.00,386.00,378.35,380.45,3039400
MCB,17-Jan-2008,379.50,381.85,372.00,375.80,1035300
MCB,18-Jan-2008,373.20,383.90,369.05,380.40,2640500
MCB,21-Jan-2008,384.90,388.50,380.00,381.75,2589300
MCB,22-Jan-2008,378.00,385.00,372.50,382.15,3169400
MCB,23-Jan-2008,385.40,388.00,377.55,378.00,3235100
MCB,24-Jan-2008,380.00,382.30,376.10,377.00,1594300
MCB,25-Jan-2008,379.00,383.50,377.50,380.90,2479100
MCB,28-Jan-2008,381.00,385.00,379.25,380.15,1718800
MCB,29-Jan-2008,380.80,384.25,380.00,382.15,926900
MCB,30-Jan-2008,383.80,392.00,383.50,388.50,4638400
MCB,31-Jan-2008,388.50,389.75,386.00,388.50,1073400
MCB,01-Feb-2008,388.10,397.70,387.00,391.90,4838800
MCB,04-Feb-2008,392.00,408.75,392.00,404.50,7339000
MCB,06-Feb-2008,407.85,413.50,407.00,410.30,4580600
MCB,07-Feb-2008,410.00,413.90,402.50,404.00,2417000
MCB,08-Feb-2008,406.75,406.75,400.05,400.10,838800
MCB,11-Feb-2008,402.50,404.00,395.15,398.40,606100
MCB,12-Feb-2008,398.90,406.95,396.00,405.45,2330000
MCB,13-Feb-2008,406.75,410.40,402.55,404.65,2451400
MCB,14-Feb-2008,407.00,410.75,406.65,408.30,2745800
MCB,15-Feb-2008,409.00,417.75,402.60,403.70,5703700
MCB,19-Feb-2008,405.50,423.85,405.50,423.85,2770300
MCB,20-Feb-2008,427.50,445.00,427.05,445.00,7949900
MCB,21-Feb-2008,454.70,465.00,445.10,451.75,8089700
MCB,22-Feb-2008,453.90,472.00,445.25,472.00,6343800
MCB,25-Feb-2008,470.00,494.80,470.00,477.00,5961200
MCB,26-Feb-2008,481.00,489.00,477.20,480.50,5306400
MCB,27-Feb-2008,481.50,485.00,464.05,466.70,4516900
MCB,28-Feb-2008,467.95,467.95,454.00,454.60,5494800
MCB,29-Feb-2008,455.50,457.00,432.20,435.00,5743600
